,Name,Apps,Mins,Mins/Gm,Height,Weight,Age,Av Rat,Gls,Gls/90,Shot %,Pen/R,xG,Ch C/90,Asts/90,K Ps/90,Pas %,Cr C/A,Drb/90,Distance,Hdr %,K Tck,Fls,Int/90,Clear,Con/90,xSv %,Sv %,Svh,Svt,Svp,Pens Saved Ratio,PoM,Aer A/90,Off,Based,Tck R,CA,Saves,Saves/xSv%,Gls/xG,Dist/Mins,Transfer Value,Value
620,Nathan Trott,14.0,1238.0,88.42857142857143,185.0,72.0,23,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.51,0.0,0.0,80.4,0.0,0.0,1.0,0.0,0.0,0.73,0.0,-0.04,10.0,9.0,21.0,0.0,1.0,0.0,0.0,England (EFL League One),1.0,110,40.0,0.0,0.0,0.06494345718901455,€450K - €4.6M,2525000.0
621,Tyler Blackett,28.0,2478.0,88.5,191.0,83.0,28,6.85,1.0,0.04,0.23,0.0,0.36,0.04,0.07,0.47,0.83,0.34,0.07,134.2,0.86,3.0,42.0,1.34,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,1.0,U.S.A. (MLS),0.95,119,0.0,0.0,2.7777777777777777,0.05415657788539144,€275K - €2.9M,1587500.0
622,Mickey van der Hart,20.0,1771.0,88.55,188.0,87.0,28,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.46,0.0,0.0,120.4,0.0,0.0,0.0,0.0,0.0,1.22,0.0,-0.03,17.0,9.0,48.0,0.0,4.0,0.0,0.0,Portugal (Primeira Liga),0.25,115,74.0,0.0,0.0,0.06798418972332017,€50K - €475K,262500.0
623,Miha Blažič,16.0,1440.0,90.0,185.0,78.0,29,7.22,1.0,0.06,0.08,0.0,0.62,0.2,0.12,0.12,0.92,0.5,0.0,131.7,0.76,1.0,10.0,2.12,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69,0.0,Hungary (OTP Bank Liga),1.0,128,0.0,0.0,1.6129032258064517,0.09145833333333332,€2.2M,1100001.0
624,Dario Maresic,14.0,1202.0,85.85714285714286,183.0,74.0,23,7.04,1.0,0.07,0.17,0.0,1.34,0.0,0.0,0.22,0.96,0.0,0.0,141.3,0.73,3.0,6.0,2.7,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.23,1.0,France (Ligue 1),0.88,131,0.0,0.0,0.7462686567164178,0.1175540765391015,€3.9M - €7.6M,5750000.0
625,Eddy Gnahoré,12.0,1080.0,90.0,188.0,85.0,28,6.87,1.0,0.08,0.44,0.0,2.08,0.25,0.0,1.33,0.92,0.27,0.08,146.7,0.54,0.0,14.0,1.08,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.33,4.0,France (Ligue 2),1.0,116,0.0,0.0,0.4807692307692307,0.13583333333333333,€220K - €700K,460000.0
626,Filippo Delli Carri,11.0,990.0,90.0,189.0,77.0,23,6.73,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.09,0.92,0.0,0.09,113.4,0.81,0.0,9.0,2.64,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,Italy (Serie B),0.57,112,0.0,0.0,0.0,0.11454545454545455,€130K - €1.3M,715000.0
627,Alexandru Măţan,29.0,1956.0,67.44827586206897,167.0,61.0,23,6.86,0.0,0.0,0.2,0.0,1.68,0.14,0.09,1.06,0.82,0.3,1.38,175.6,0.42,0.0,27.0,1.24,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,10.0,U.S.A. (MLS),0.75,127,0.0,0.0,0.0,0.08977505112474438,€1M - €9.8M,5400000.0
628,Batista Mendy,13.0,1049.0,80.6923076923077,191.0,82.0,22,7.04,0.0,0.0,0.23,0.0,1.94,0.51,0.09,1.29,0.9,0.23,0.17,147.7,0.75,1.0,19.0,0.86,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,3.0,France (Ligue 1),0.57,121,0.0,0.0,0.0,0.14080076263107721,€700K - €6.8M,3750000.0
629,Othman Boussaid,12.0,838.0,69.83333333333333,166.0,58.0,22,7.08,2.0,0.21,0.38,0.0,1.93,0.46,0.0,2.04,0.87,0.45,2.79,129.2,0.54,0.0,17.0,1.72,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,5.0,Holland (Eredivisie),0.54,128,0.0,0.0,1.0362694300518136,0.15417661097852028,€11M - €14.5M,12750000.0
630,Pol Llonch,11.0,936.0,85.0909090909091,171.0,70.0,30,7.2,0.0,0.0,0.15,0.0,0.94,0.0,0.29,0.87,0.88,0.45,0.19,128.4,0.75,0.0,15.0,0.96,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,Holland (Eredivisie),0.8,120,0.0,0.0,0.0,0.1371794871794872,€650K - €6.6M,3625000.0
631,Trent Sainsbury,11.0,990.0,90.0,184.0,76.0,30,7.02,0.0,0.0,0.25,0.0,0.47,0.09,0.09,0.18,0.94,0.0,0.0,115.2,0.79,0.0,11.0,2.18,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.09,3.0,Belgium (Pro League),0.8,116,0.0,0.0,0.0,0.11636363636363636,€300K - €2.9M,1600000.0
632,Pantelis Hatzidiakos,12.0,1080.0,90.0,183.0,74.0,25,6.8,0.0,0.0,0.44,0.0,0.97,0.0,0.0,0.0,0.94,0.5,0.0,128.7,0.78,3.0,6.0,1.83,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,2.0,Holland (Eredivisie),0.87,128,0.0,0.0,0.0,0.11916666666666666,€800K - €8.2M,4500000.0
633,Arlind Ajeti,11.0,947.0,86.0909090909091,184.0,83.0,29,7.06,3.0,0.29,0.86,0.0,0.39,0.0,0.0,0.1,0.92,0.0,0.0,100.0,0.83,0.0,10.0,2.09,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.16,1.0,Italy (Serie B),1.0,113,0.0,0.0,7.692307692307692,0.10559662090813093,€475K - €4.8M,2637500.0
634,Tomás Ribeiro,11.0,943.0,85.72727272727273,185.0,80.0,23,6.6,0.0,0.0,0.0,0.0,1.54,0.1,0.0,0.1,0.94,0.25,0.0,111.4,0.64,2.0,8.0,2.58,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.22,2.0,Switzerland (Super League),0.67,125,0.0,0.0,0.0,0.1181336161187699,€5M - €10.5M,7750000.0
635,Joël Drommel,18.0,1620.0,90.0,193.0,87.0,25,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,109.9,0.0,0.0,1.0,0.33,0.0,1.28,-18.24,-0.03,25.0,11.0,23.0,0.0,0.0,0.0,0.0,Holland (Eredivisie),0.0,130,59.0,-3.234649122807018,0.0,0.06783950617283951,€650K - €6.6M,3625000.0
636,Róbson Bambu,35.0,3202.0,91.48571428571428,185.0,71.0,24,7.25,1.0,0.03,0.08,0.0,0.67,0.03,0.06,0.11,0.89,0.0,0.17,215.3,0.77,2.0,42.0,1.24,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81,0.0,Brazil (Brasileiro Série A),1.0,126,0.0,0.0,1.4925373134328357,0.06723922548407246,€425K - €4.3M,2362500.0
637,Robert Voloder,31.0,2506.0,80.83870967741936,185.0,82.0,21,6.8,0.0,0.0,0.25,0.0,0.74,0.11,0.11,0.29,0.91,0.0,0.04,209.9,0.81,0.0,43.0,1.4,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,1.0,9.41,1.0,U.S.A. (MLS),0.86,116,0.0,0.0,0.0,0.08375897845171588,€550K - €5.6M,3075000.0
638,César Araújo,20.0,1870.0,93.5,178.0,69.0,21,7.19,0.0,0.0,0.33,0.0,1.46,0.25,0.19,1.11,0.88,0.4,0.19,256.2,0.67,1.0,6.0,0.96,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.09,0.0,U.S.A. (MLS),0.74,125,0.0,0.0,0.0,0.13700534759358288,€1.2M - €12M,6600000.0
639,Thomas Basila,16.0,1386.0,86.625,187.0,77.0,23,6.75,0.0,0.0,0.25,0.0,1.28,0.0,0.0,0.13,0.92,0.33,0.19,162.2,0.82,3.0,11.0,2.27,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.35,1.0,France (Ligue 2),0.89,120,0.0,0.0,0.0,0.11702741702741702,€350K - €3.4M,1875000.0
640,Andrew Farrell,29.0,2610.0,90.0,181.0,91.0,30,6.64,2.0,0.07,0.16,0.0,1.96,0.07,0.0,0.07,0.91,0.68,0.31,259.4,0.74,1.0,41.0,2.1,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,3.0,U.S.A. (MLS),0.81,118,0.0,0.0,1.0204081632653061,0.09938697318007662,€75K,37503.5
641,Felipe Carballo,20.0,1630.0,81.5,177.0,72.0,26,7.25,3.0,0.17,0.31,0.0,2.4,0.24,0.28,0.55,0.85,0.1,0.17,125.1,0.74,1.0,21.0,0.55,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,0.0,Uruguay (Campeonato Uruguayo),0.94,131,0.0,0.0,1.25,0.07674846625766871,€190K - €1.9M,1045000.0
642,Davit Khocholava,16.0,1470.0,91.875,192.0,91.0,29,7.25,2.0,0.12,0.53,0.0,0.81,0.11,0.06,0.18,0.91,0.0,0.18,146.0,0.84,2.0,22.0,2.94,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.88,2.0,Denmark (Superliga),0.82,132,0.0,0.0,2.4691358024691357,0.09931972789115646,€5.2M - €11M,8100000.0
643,Nicola Pavan,11.0,826.0,75.0909090909091,184.0,75.0,29,6.79,0.0,0.0,0.22,0.0,0.86,0.24,0.0,0.98,0.93,0.3,0.22,113.0,0.61,0.0,11.0,1.96,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,2.0,Italy (Serie B),0.75,115,0.0,0.0,0.0,0.1368038740920097,€400K - €3.9M,2150000.0
644,Fabijan Buntic,13.0,1170.0,90.0,194.0,90.0,25,7.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.47,0.0,0.0,68.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.03,15.0,14.0,23.0,0.0,1.0,0.0,0.0,Holland (Eredivisie),0.0,116,52.0,0.0,0.0,0.05888888888888889,€150K - €1.5M,825000.0
645,Peter Kioso,11.0,938.0,85.27272727272727,183.0,70.0,23,7.17,1.0,0.1,0.33,0.0,0.76,0.0,0.0,1.25,0.93,0.14,1.06,134.6,0.81,3.0,11.0,3.55,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.12,3.0,France (Ligue 2),0.94,115,0.0,0.0,1.3157894736842106,0.14349680170575693,€230K - €2.3M,1265000.0
646,Ramón Martínez,33.0,2986.0,90.48484848484848,186.0,89.0,26,6.99,3.0,0.09,0.26,0.0,0.3,0.35,0.24,0.15,0.77,1.0,0.0,66.3,0.8,0.0,39.0,0.21,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,Paraguay (Primera División),0.89,123,0.0,0.0,10.0,0.022203616878767582,€600K - €1.4M,1000000.0
647,Oleksandr Tymchyk,12.0,1115.0,92.91666666666667,180.0,67.0,25,7.18,1.0,0.08,0.17,0.0,1.18,0.17,0.08,0.65,0.9,0.3,2.18,127.1,0.78,0.0,21.0,3.07,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,2.0,Ukraine (Favbet Liha),0.87,128,0.0,0.0,0.8474576271186441,0.11399103139013453,€9.2M - €11.5M,10350000.0
648,Daniel Boloca,14.0,1248.0,89.14285714285714,186.0,76.0,23,6.93,1.0,0.07,0.3,0.0,2.23,0.0,0.0,1.15,0.89,0.09,0.07,167.6,0.64,0.0,18.0,0.79,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,2.0,Italy (Serie A),0.93,117,0.0,0.0,0.4484304932735426,0.1342948717948718,€2.2M - €5M,3600000.0
649,Michael Hector,13.0,1132.0,87.07692307692308,193.0,82.0,30,6.95,0.0,0.0,0.33,0.0,0.29,0.0,0.0,0.24,0.88,0.0,0.08,133.3,0.87,3.0,14.0,2.62,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.91,1.0,France (Ligue 1),0.92,124,0.0,0.0,0.0,0.11775618374558305,€3.9M - €8.4M,6150000.0
650,Federico Proia,12.0,1080.0,90.0,185.0,80.0,26,7.24,1.0,0.08,0.33,0.0,0.55,0.0,0.17,0.92,0.92,0.0,0.08,149.8,0.86,0.0,21.0,0.83,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,0.0,Italy (Serie C/A),0.54,116,0.0,0.0,1.8181818181818181,0.13870370370370372,€180K - €1.8M,990000.0
651,Marcus Holmgren Pedersen,15.0,1285.0,85.66666666666667,183.0,76.0,22,6.93,0.0,0.0,0.0,0.0,0.61,0.35,0.0,1.12,0.8,0.24,2.38,183.1,0.77,6.0,27.0,2.45,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.28,3.0,Holland (Eredivisie),0.73,132,0.0,0.0,0.0,0.14249027237354084,€5.8M - €10M,7900000.0
652,Jordi Vanlerberghe,12.0,1080.0,90.0,191.0,82.0,26,7.02,0.0,0.0,0.33,0.0,0.34,0.0,0.08,0.25,0.94,0.33,0.0,128.6,0.87,2.0,10.0,2.75,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.58,0.0,Belgium (Pro League),0.43,122,0.0,0.0,0.0,0.11907407407407407,€1M - €10.5M,5750000.0
653,Ismaïl Aaneba,14.0,1217.0,86.92857142857143,185.0,79.0,23,6.86,0.0,0.0,0.2,0.0,0.21,0.0,0.0,0.3,0.93,0.0,0.15,141.2,0.84,2.0,7.0,2.07,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.87,1.0,France (Ligue 1),1.0,113,0.0,0.0,0.0,0.11602300739523418,€300K - €3.1M,1700000.0
654,Josip Radosevic,16.0,1428.0,89.25,180.0,77.0,28,7.02,0.0,0.0,0.33,0.0,1.15,0.0,0.0,0.95,0.92,0.14,0.13,186.4,0.71,2.0,34.0,1.13,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,1.0,Denmark (Superliga),0.84,121,0.0,0.0,0.0,0.13053221288515407,€300K - €3.1M,1700000.0
655,Khephren Thuram,13.0,1170.0,90.0,192.0,80.0,21,7.15,1.0,0.08,0.3,0.0,2.1,0.08,0.08,1.38,0.89,0.12,0.38,152.0,0.73,1.0,15.0,1.08,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,Switzerland (Super League),0.93,120,0.0,0.0,0.47619047619047616,0.12991452991452992,€650K - €6.4M,3525000.0
656,Alejandro Francés,13.0,1170.0,90.0,181.0,70.0,20,6.85,0.0,0.0,0.17,0.0,0.41,0.08,0.08,0.54,0.96,0.56,0.15,143.0,0.72,3.0,8.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.23,1.0,Spain (LaLiga),0.79,137,0.0,0.0,0.0,0.12222222222222222,€10.5M - €17.5M,14000000.0
657,Marius Müller,13.0,1065.0,81.92307692307692,192.0,92.0,29,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.55,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,-0.02,6.0,8.0,20.0,0.0,2.0,0.0,0.0,Switzerland (Super League),0.0,126,34.0,0.0,0.0,0.07323943661971831,€450K - €4.6M,2525000.0
658,Jon Gorenc Stankovič,12.0,1065.0,88.75,190.0,78.0,26,7.03,0.0,0.0,0.5,0.0,0.61,0.34,0.0,1.1,0.89,0.27,0.25,144.0,0.84,0.0,14.0,1.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,0.0,Austria (Admiral Bundesliga),0.89,126,0.0,0.0,0.0,0.1352112676056338,€950K - €9.6M,5275000.0
659,Alessandro Tuia,11.0,866.0,78.72727272727273,184.0,77.0,32,6.98,0.0,0.0,0.0,0.0,0.53,0.23,0.21,1.04,0.94,0.11,0.21,111.0,0.71,2.0,23.0,3.22,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08,2.0,Italy (Serie B),0.9,120,0.0,0.0,0.0,0.12817551963048499,€170K - €1.7M,935000.0
660,Matteo Ricci,15.0,1126.0,75.06666666666666,176.0,68.0,28,6.95,0.0,0.0,0.33,0.0,0.22,0.0,0.32,0.96,0.89,0.28,0.32,159.0,0.52,1.0,14.0,1.92,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,Italy (Serie A),0.89,126,0.0,0.0,0.0,0.14120781527531084,€700K - €7M,3850000.0
661,Victor Lekhal,14.0,915.0,65.35714285714286,187.0,72.0,28,6.97,1.0,0.1,0.29,0.0,1.21,0.1,0.0,1.08,0.87,0.28,0.3,129.2,0.75,0.0,10.0,0.89,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,1.0,France (Ligue 2),0.74,116,0.0,0.0,0.8264462809917356,0.14120218579234972,€160K - €1.6M,880000.0
662,Vajebah Sakor,12.0,929.0,77.41666666666667,185.0,83.0,26,6.7,1.0,0.1,0.56,0.0,0.69,0.12,0.1,0.68,0.9,0.16,0.19,125.1,0.7,0.0,10.0,0.87,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,1.0,Italy (Serie B),0.75,107,0.0,0.0,1.4492753623188408,0.13466092572658772,€190K - €1.9M,1045000.0
663,Justin Bijlow,16.0,1440.0,90.0,188.0,84.0,24,7.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.81,0.0,0.0,104.6,0.0,0.0,0.0,0.0,0.0,0.88,0.0,-0.03,5.0,12.0,32.0,0.0,3.0,0.0,0.0,Holland (Eredivisie),0.67,143,49.0,0.0,0.0,0.07263888888888889,€23M - €39M,31000000.0
664,Jimmy Giraudon,12.0,1080.0,90.0,184.0,66.0,30,6.7,0.0,0.0,0.5,0.0,0.07,0.0,0.0,0.17,0.94,0.0,0.08,127.1,0.83,0.0,12.0,2.33,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.58,1.0,France (Ligue 1),0.75,124,0.0,0.0,0.0,0.11768518518518518,€230K - €2.3M,1265000.0
665,Timothé Cognat,22.0,1957.0,88.95454545454545,173.0,67.0,24,7.13,3.0,0.14,0.63,0.0,1.51,0.72,0.14,1.33,0.89,0.33,0.18,273.5,0.63,0.0,26.0,1.01,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,4.0,Switzerland (Super League),0.72,124,0.0,0.0,1.9867549668874172,0.1397547266223812,€3.2M - €7.2M,5200000.0
666,Omar Govea,12.0,850.0,70.83333333333333,176.0,68.0,26,6.9,1.0,0.11,0.22,0.0,2.16,0.42,0.0,2.01,0.9,0.16,0.21,119.7,0.61,1.0,9.0,0.74,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,1.0,Belgium (Pro League),0.89,128,0.0,0.0,0.4629629629629629,0.1408235294117647,€5M - €8.2M,6600000.0
667,Nicholas Opoku,12.0,1080.0,90.0,190.0,81.0,24,6.89,0.0,0.0,0.18,0.0,0.85,0.0,0.0,0.08,0.93,0.0,0.17,122.9,0.86,3.0,16.0,2.08,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83,0.0,France (Ligue 2),1.0,118,0.0,0.0,0.0,0.1137962962962963,€550K - €1.8M,1175000.0
668,Ali Al Musrati,14.0,1207.0,86.21428571428571,193.0,82.0,26,7.39,4.0,0.3,0.42,0.0,1.78,1.77,0.3,1.19,0.88,0.75,0.15,152.9,0.85,0.0,26.0,0.97,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.29,2.0,Portugal (Primeira Liga),0.93,140,0.0,0.0,2.247191011235955,0.12667771333885666,€18.5M - €23M,20750000.0
669,Felipe Aguilar,16.0,1370.0,85.625,190.0,82.0,29,6.72,0.0,0.0,0.17,0.0,0.89,0.0,0.0,0.2,0.95,0.0,0.13,151.1,0.76,2.0,19.0,2.96,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.11,0.0,Brazil (Brasileiro Série A),0.54,125,0.0,0.0,0.0,0.1102919708029197,€1M - €10.5M,5750000.0
670,Lucas Bijker,12.0,1031.0,85.91666666666667,175.0,72.0,29,6.73,0.0,0.0,0.0,0.0,0.23,0.17,0.09,0.87,0.9,0.3,0.52,136.4,0.76,5.0,17.0,2.27,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46,1.0,Belgium (Pro League),0.89,113,0.0,0.0,0.0,0.13229873908826384,€275K - €2.7M,1487500.0
671,Pierre Bourdin,12.0,1004.0,83.66666666666667,186.0,80.0,28,7.02,1.0,0.09,0.13,0.0,0.4,0.0,0.0,0.0,0.91,0.0,0.0,118.5,0.8,1.0,15.0,2.24,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.43,1.0,Belgium (Pro League),1.0,115,0.0,0.0,2.5,0.11802788844621515,€180K - €1.8M,990000.0
672,Tin Plavotić,11.0,969.0,88.0909090909091,197.0,96.0,25,7.15,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.19,0.96,0.2,0.0,115.3,0.9,5.0,4.0,1.95,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.47,0.0,Austria (Admiral Bundesliga),0.61,116,0.0,0.0,0.0,0.11898864809081527,€500K - €4.9M,2700000.0
673,Francesco Di Mariano,11.0,969.0,88.0909090909091,177.0,68.0,26,7.25,2.0,0.19,0.26,0.0,2.68,0.51,0.19,1.76,0.86,0.35,2.32,143.7,0.54,0.0,20.0,1.39,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.32,6.0,Italy (Serie B),0.7,116,0.0,0.0,0.7462686567164178,0.148297213622291,€1.8M - €4M,2900000.0
674,Atakan Karazor,13.0,1044.0,80.3076923076923,191.0,76.0,26,6.85,1.0,0.09,0.5,0.0,0.26,0.43,0.09,0.86,0.92,0.14,0.09,141.6,0.75,0.0,23.0,1.64,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.55,3.0,Holland (Eredivisie),0.8,123,0.0,0.0,3.846153846153846,0.13563218390804596,€3.1M - €7M,5050000.0
675,Filippo Sgarbi,11.0,917.0,83.36363636363636,191.0,82.0,24,6.81,0.0,0.0,0.0,0.0,0.62,0.33,0.0,0.0,0.95,0.0,0.1,112.7,0.81,4.0,8.0,2.36,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72,2.0,Italy (Serie B),0.88,116,0.0,0.0,0.0,0.12290076335877863,€1.8M - €4M,2900000.0
676,Daniel Cappelletti,12.0,1018.0,84.83333333333333,183.0,78.0,31,6.95,0.0,0.0,0.13,0.0,0.97,0.0,0.09,0.53,0.92,0.2,0.88,130.5,0.76,0.0,30.0,2.39,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,2.0,Italy (Serie C/A),0.88,107,0.0,0.0,0.0,0.12819253438113948,€140K - €1.4M,770000.0
677,Oriol Rosell,32.0,2850.0,89.0625,183.0,77.0,30,6.73,1.0,0.03,0.14,0.0,1.43,0.1,0.0,0.28,0.89,0.5,0.06,278.2,0.78,0.0,41.0,0.54,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,3.0,U.S.A. (MLS),0.72,121,0.0,0.0,0.6993006993006994,0.09761403508771929,€500K - €5.2M,2850000.0
678,Andrea Seculin,12.0,1047.0,87.25,190.0,80.0,32,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.42,0.0,0.0,65.2,0.0,0.0,0.0,0.0,0.0,0.86,0.0,-0.05,9.0,6.0,9.0,0.0,2.0,0.0,0.0,Italy (Lega Nazionale Dilettanti E),0.0,111,24.0,0.0,0.0,0.06227316141356256,€24K - €240K,132000.0
679,James Igbekeme,31.0,2767.0,89.25806451612904,170.0,66.0,27,7.04,3.0,0.1,0.23,0.0,1.62,0.13,0.1,0.94,0.88,0.3,0.36,269.4,0.56,2.0,40.0,0.59,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.54,1.0,U.S.A. (MLS),0.76,119,0.0,0.0,1.8518518518518516,0.09736176364293458,€550K - €1.8M,1175000.0
680,Neyder Lozano,34.0,2940.0,86.47058823529412,185.0,81.0,28,7.05,1.0,0.03,0.13,0.0,2.25,0.09,0.03,0.18,0.91,0.0,0.06,230.8,0.84,3.0,10.0,1.59,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,1.0,U.S.A. (MLS),0.83,120,0.0,0.0,0.4444444444444444,0.07850340136054422,€190K - €1.9M,1045000.0
681,Niccolò Zanellato,11.0,910.0,82.72727272727273,192.0,74.0,24,6.99,3.0,0.3,0.27,0.0,1.56,0.86,0.1,0.59,0.9,0.28,0.4,123.4,0.71,0.0,18.0,1.48,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,1.0,Italy (Serie B),0.82,120,0.0,0.0,1.923076923076923,0.1356043956043956,€550K - €5.6M,3075000.0
682,Prince-Désir Gouano,15.0,1275.0,85.0,186.0,78.0,28,6.98,1.0,0.07,0.13,0.0,1.28,0.0,0.0,0.07,0.9,0.0,0.0,144.8,0.85,0.0,15.0,2.61,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.61,0.0,France (Ligue 2),0.86,115,0.0,0.0,0.78125,0.1135686274509804,€140K - €1.4M,770000.0
683,Martin Fraisl,13.0,1170.0,90.0,187.0,79.0,29,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.5,0.0,0.0,42.1,0.0,0.0,0.0,0.0,0.0,1.23,0.0,-0.04,8.0,2.0,8.0,0.0,0.0,0.0,0.0,Austria (ADMIRAL 2. Liga),0.0,105,18.0,0.0,0.0,0.03598290598290598,€16K - €170K,93000.0
684,Bruno Martins Indi,12.0,1080.0,90.0,184.0,80.0,30,7.09,0.0,0.0,0.0,0.0,0.38,0.08,0.17,0.33,0.94,0.0,0.0,122.4,0.89,1.0,13.0,2.33,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.75,0.0,Holland (Eredivisie),0.87,120,0.0,0.0,0.0,0.11333333333333334,€750K - €7.2M,3975000.0
685,Maximilian Wöber,13.0,1094.0,84.15384615384616,188.0,83.0,24,7.06,0.0,0.0,0.25,0.0,1.33,0.0,0.0,0.0,0.97,0.0,0.16,129.5,0.77,1.0,9.0,3.7,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27,0.0,Austria (Admiral Bundesliga),0.93,146,0.0,0.0,0.0,0.1183729433272395,€5.4M - €9M,7200000.0
686,Janio Bikel,17.0,1545.0,90.88235294117646,176.0,64.0,27,6.96,0.0,0.0,0.29,0.0,2.03,0.15,0.17,0.87,0.88,0.29,0.29,191.4,0.73,0.0,27.0,2.1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,1.0,U.S.A. (MLS),0.81,115,0.0,0.0,0.0,0.12388349514563107,€150K - €1.5M,825000.0
